Card Name,Card Description,List Name,Labels,Due Date,Members
Avro to JSON,"Convert Avro schema to JSON

Category: converters
Tool ID: avro-to-json
Tier: free",To Do,"converters,Simple",,
Hex Encoder/Decoder,"Encode and decode hexadecimal strings

Category: encoders
Tool ID: hex-encoder
Tier: free",To Do,"encoders,Simple",,
ASCII Encoder/Decoder,"Convert text to ASCII codes and vice versa

Category: encoders
Tool ID: ascii-encoder
Tier: free",To Do,"encoders,Simple",,
Unicode Encoder/Decoder,"Encode and decode Unicode characters

Category: encoders
Tool ID: unicode-encoder
Tier: free",To Do,"encoders,Simple",,
HTML Entity Encoder/Decoder,"Encode and decode HTML entities

Category: encoders
Tool ID: html-encoder
Tier: free",To Do,"encoders,Simple",,
Punycode Encoder/Decoder,"Encode and decode internationalized domain names

Category: encoders
Tool ID: punycode-encoder
Tier: free",To Do,"encoders,Simple",,
Morse Code Translator,"Translate text to/from Morse code

Category: encoders
Tool ID: morse-code
Tier: free",To Do,"encoders,Simple",,
Binary Encoder/Decoder,"Convert text to binary and vice versa

Category: encoders
Tool ID: binary-encoder
Tier: free",To Do,"encoders,Simple",,
Octal Encoder/Decoder,"Convert text to octal and vice versa

Category: encoders
Tool ID: octal-encoder
Tier: free",To Do,"encoders,Simple",,
ROT13 Encoder/Decoder,"Apply ROT13 cipher encoding/decoding

Category: encoders
Tool ID: rot13-encoder
Tier: free",To Do,"encoders,Simple",,
UUEncode/UUDecode,"UUEncode and UUDecode binary data

Category: encoders
Tool ID: uuencode
Tier: free",To Do,"encoders,Simple",,
CSS Formatter,"Format and minify CSS code

Category: formatters
Tool ID: css-formatter
Tier: free",To Do,"formatters,Medium",,
HTML Formatter,"Format and beautify HTML code

Category: formatters
Tool ID: html-formatter
Tier: free",To Do,"formatters,Medium",,
JavaScript Formatter,"Format and beautify JavaScript code

Category: formatters
Tool ID: javascript-formatter
Tier: free",To Do,"formatters,Medium",,
TypeScript Formatter,"Format and beautify TypeScript code

Category: formatters
Tool ID: typescript-formatter
Tier: free",To Do,"formatters,Medium",,
Python Formatter,"Format Python code with Black/autopep8 style

Category: formatters
Tool ID: python-formatter
Tier: free",To Do,"formatters,Medium",,
Java Formatter,"Format Java code

Category: formatters
Tool ID: java-formatter
Tier: free",To Do,"formatters,Medium",,
Go Formatter,"Format Go code with gofmt style

Category: formatters
Tool ID: go-formatter
Tier: free",To Do,"formatters,Medium",,
Rust Formatter,"Format Rust code with rustfmt style

Category: formatters
Tool ID: rust-formatter
Tier: free",To Do,"formatters,Medium",,
GraphQL Formatter,"Format and validate GraphQL queries

Category: formatters
Tool ID: graphql-formatter
Tier: free",To Do,"formatters,Medium",,
Protobuf Formatter,"Format Protocol Buffer definitions

Category: formatters
Tool ID: protobuf-formatter
Tier: free",To Do,"formatters,Medium",,
Dockerfile Formatter,"Format and validate Dockerfiles

Category: formatters
Tool ID: dockerfile-formatter
Tier: free",To Do,"formatters,Medium",,
Nginx Config Formatter,"Format Nginx configuration files

Category: formatters
Tool ID: nginx-formatter
Tier: free",To Do,"formatters,Medium",,
Apache Config Formatter,"Format Apache configuration files

Category: formatters
Tool ID: apache-formatter
Tier: free",To Do,"formatters,Medium",,
INI Formatter,"Format and validate INI configuration files

Category: formatters
Tool ID: ini-formatter
Tier: free",To Do,"formatters,Medium",,
Properties Formatter,"Format Java properties files

Category: formatters
Tool ID: properties-formatter
Tier: free",To Do,"formatters,Medium",,
Text Case Converter,"Convert text between cases (camelCase, snake_case, kebab-case, etc.)

Category: text-tools
Tool ID: text-case-converter
Tier: free",To Do,"text-tools,Medium",,
Word Counter,"Count words, characters, lines, and paragraphs

Category: text-tools
Tool ID: word-counter
Tier: free",To Do,"text-tools,Simple",,
Lorem Ipsum Generator,"Generate placeholder Lorem Ipsum text

Category: text-tools
Tool ID: lorem-ipsum
Tier: free",To Do,"text-tools,Simple",,
Text Sorter,"Sort lines alphabetically or numerically

Category: text-tools
Tool ID: text-sorter
Tier: free",To Do,"text-tools,Simple",,
Duplicate Line Remover,"Remove duplicate lines from text

Category: text-tools
Tool ID: duplicate-remover
Tier: free",To Do,"text-tools,Simple",,
Line Numberer,"Add or remove line numbers from text

Category: text-tools
Tool ID: line-numberer
Tier: free",To Do,"text-tools,Simple",,
Whitespace Remover,"Remove extra whitespace from text

Category: text-tools
Tool ID: whitespace-remover
Tier: free",To Do,"text-tools,Simple",,
Text Reverser,"Reverse text, words, or lines

Category: text-tools
Tool ID: text-reverser
Tier: free",To Do,"text-tools,Simple",,
Text Splitter,"Split text by delimiter or pattern

Category: text-tools
Tool ID: text-splitter
Tier: free",To Do,"text-tools,Simple",,
Text Joiner,"Join lines with custom delimiter

Category: text-tools
Tool ID: text-joiner
Tier: free",To Do,"text-tools,Simple",,
Slug Generator,"Generate URL-friendly slugs from text

Category: text-tools
Tool ID: slug-generator
Tier: free",To Do,"text-tools,Medium",,
Password Generator,"Generate secure random passwords

Category: security
Tool ID: password-generator
Tier: free",To Do,"security,Medium",,
Password Strength Checker,"Check password strength and get improvement suggestions

Category: security
Tool ID: password-strength
Tier: free",To Do,"security,Simple",,
Bcrypt Hash Generator,"Generate and verify Bcrypt hashes

Category: security
Tool ID: bcrypt-generator
Tier: free",To Do,"security,Medium",,
HMAC Generator,"Generate HMAC signatures with various algorithms

Category: security
Tool ID: hmac-generator
Tier: free",To Do,"security,Medium",,
RSA Key Generator,"Generate RSA public/private key pairs

Category: security
Tool ID: rsa-key-generator
Tier: free",To Do,"security,Medium",,
AES Encrypt/Decrypt,"Encrypt and decrypt text using AES

Category: security
Tool ID: aes-encrypt
Tier: free",To Do,"security,Simple",,
PGP Encrypt/Decrypt,"PGP encryption and decryption tool

Category: security
Tool ID: pgp-tool
Tier: free",To Do,"security,Simple",,
Certificate Decoder,"Decode and analyze SSL/TLS certificates

Category: security
Tool ID: certificate-decoder
Tier: free",To Do,"security,Simple",,
NanoID Generator,"Generate compact unique IDs with NanoID

Category: generators
Tool ID: nanoid-generator
Tier: free",To Do,"generators,Medium",,
ULID Generator,"Generate Universally Unique Lexicographically Sortable Identifiers

Category: generators
Tool ID: ulid-generator
Tier: free",To Do,"generators,Medium",,
Barcode Generator,"Generate various barcode formats (EAN, UPC, Code128, etc.)

Category: generators
Tool ID: barcode-generator
Tier: free",To Do,"generators,Medium",,
Mock API Response Generator,"Generate mock API responses with realistic data

Category: generators
Tool ID: mock-data-generator
Tier: free",To Do,"generators,Medium",,
Test Credit Card Generator,"Generate test credit card numbers for development

Category: generators
Tool ID: credit-card-generator
Tier: free",To Do,"generators,Medium",,
IBAN Generator/Validator,"Generate and validate IBAN numbers

Category: generators
Tool ID: iban-generator
Tier: free",To Do,"generators,Medium",,
MAC Address Generator,"Generate random MAC addresses

Category: generators
Tool ID: mac-address-generator
Tier: free",To Do,"generators,Medium",,
IPv4 Address Generator,"Generate random IPv4 addresses

Category: generators
Tool ID: ipv4-generator
Tier: free",To Do,"generators,Medium",,
IPv6 Address Generator,"Generate random IPv6 addresses

Category: generators
Tool ID: ipv6-generator
Tier: free",To Do,"generators,Medium",,
User Agent Generator,"Generate random user agent strings

Category: generators
Tool ID: user-agent-generator
Tier: free",To Do,"generators,Medium",,
SQL Query Builder,"Visual SQL query builder with syntax highlighting

Category: database
Tool ID: sql-query-builder
Tier: free",To Do,"database,Complex",,
MongoDB Query Builder,"Build MongoDB queries and aggregations

Category: database
Tool ID: mongodb-query-builder
Tier: free",To Do,"database,Complex",,
Redis CLI Simulator,"Simulate Redis commands and test queries

Category: database
Tool ID: redis-cli
Tier: free",To Do,"database,Simple",,
Elasticsearch Query Builder,"Build and test Elasticsearch queries

Category: database
Tool ID: elasticsearch-query
Tier: free",To Do,"database,Simple",,
SQL to MongoDB Converter,"Convert SQL queries to MongoDB syntax

Category: database
Tool ID: sql-to-mongodb
Tier: free",To Do,"database,Simple",,
Database Diagram Generator,"Generate ER diagrams from schema definitions

Category: database
Tool ID: db-diagram-generator
Tier: free",To Do,"database,Medium",,
Database Migration Generator,"Generate database migration scripts

Category: database
Tool ID: migration-generator
Tier: free",To Do,"database,Medium",,
IP Subnet Calculator,"Calculate IP subnets, CIDR, and network ranges

Category: network
Tool ID: ip-calculator
Tier: free",To Do,"network,Simple",,
DNS Lookup Tool,"Perform DNS lookups and analyze records

Category: network
Tool ID: dns-lookup
Tier: free",To Do,"network,Simple",,
WHOIS Lookup,"Query WHOIS information for domains

Category: network
Tool ID: whois-lookup
Tier: free",To Do,"network,Simple",,
Port Scanner,"Scan and check open ports

Category: network
Tool ID: port-scanner
Tier: free",To Do,"network,Simple",,
Ping Tool,"Ping hosts and check connectivity

Category: network
Tool ID: ping-tool
Tier: free",To Do,"network,Simple",,
Traceroute Tool,"Trace network route to destination

Category: network
Tool ID: traceroute
Tier: free",To Do,"network,Simple",,
SSL Certificate Checker,"Check SSL certificate validity and details

Category: network
Tool ID: ssl-checker
Tier: free",To Do,"network,Simple",,
HTTP Headers Analyzer,"Analyze HTTP request and response headers

Category: network
Tool ID: http-headers
Tier: free",To Do,"network,Simple",,
URL Parser,"Parse and analyze URL components

Category: network
Tool ID: url-parser
Tier: free",To Do,"network,Simple",,
User Agent Parser,"Parse and analyze user agent strings

Category: network
Tool ID: user-agent-parser
Tier: free",To Do,"network,Simple",,
Image Format Converter,"Convert between image formats (PNG, JPG, WebP, etc.)

Category: image
Tool ID: image-converter
Tier: free",To Do,"image,Medium",,
Image Resizer,"Resize images with custom dimensions

Category: image
Tool ID: image-resizer
Tier: free",To Do,"image,Simple",,
Image Compressor,"Compress images to reduce file size

Category: image
Tool ID: image-compressor
Tier: free",To Do,"image,Simple",,
Image Cropper,"Crop images with custom aspect ratios

Category: image
Tool ID: image-cropper
Tier: free",To Do,"image,Simple",,
Image to Base64,"Convert images to Base64 data URLs

Category: image
Tool ID: image-to-base64
Tier: free",To Do,"image,Simple",,
Base64 to Image,"Convert Base64 strings to images

Category: image
Tool ID: base64-to-image
Tier: free",To Do,"image,Simple",,
SVG Optimizer,"Optimize and minify SVG files

Category: image
Tool ID: svg-optimizer
Tier: free",To Do,"image,Simple",,
Favicon Generator,"Generate favicons in multiple sizes

Category: image
Tool ID: favicon-generator
Tier: free",To Do,"image,Medium",,
Placeholder Image Generator,"Generate placeholder images with custom sizes

Category: image
Tool ID: placeholder-image
Tier: free",To Do,"image,Simple",,
Image Metadata Extractor,"Extract EXIF, IPTC, and XMP metadata from images

Category: image
Tool ID: image-metadata-extractor
Tier: free",To Do,"image,Simple",,
Image Metadata Editor,"Edit and remove image metadata

Category: image
Tool ID: image-metadata-editor
Tier: free",To Do,"image,Simple",,
Image Color Picker,"Pick colors from images and get color codes

Category: image
Tool ID: image-color-picker
Tier: free",To Do,"image,Simple",,
Image Color Palette Extractor,"Extract dominant color palettes from images

Category: image
Tool ID: image-color-palette
Tier: free",To Do,"image,Simple",,
Image Filter & Effects,"Apply filters and effects to images (grayscale, sepia, blur, etc.)

Category: image
Tool ID: image-filter
Tier: free",To Do,"image,Simple",,
Image Brightness/Contrast Adjuster,"Adjust image brightness, contrast, and saturation

Category: image
Tool ID: image-brightness-contrast
Tier: free",To Do,"image,Simple",,
Image Rotator,"Rotate and flip images

Category: image
Tool ID: image-rotator
Tier: free",To Do,"image,Simple",,
Image Watermark Tool,"Add text or image watermarks to images

Category: image
Tool ID: image-watermark
Tier: free",To Do,"image,Simple",,
Image Border Tool,"Add borders and frames to images

Category: image
Tool ID: image-border
Tier: free",To Do,"image,Simple",,
Background Remover,"Remove backgrounds from images

Category: image
Tool ID: image-background-remover
Tier: free",To Do,"image,Simple",,
Image Merger,"Merge multiple images into one (collage, grid, etc.)

Category: image
Tool ID: image-merger
Tier: free",To Do,"image,Simple",,
Image Splitter,"Split images into multiple parts or tiles

Category: image
Tool ID: image-splitter
Tier: free",To Do,"image,Simple",,
Image Comparison Tool,"Compare two images side-by-side with slider

Category: image
Tool ID: image-comparison
Tier: free",To Do,"image,Simple",,
Image Diff Tool,"Find differences between two images

Category: image
Tool ID: image-diff
Tier: free",To Do,"image,Simple",,
Image Histogram Analyzer,"Analyze image histogram and color distribution

Category: image
Tool ID: image-histogram
Tier: free",To Do,"image,Simple",,
Image Dimension Calculator,"Calculate aspect ratios and resize dimensions

Category: image
Tool ID: image-dimension-calculator
Tier: free",To Do,"image,Simple",,
Sprite Sheet Generator,"Generate sprite sheets from multiple images

Category: image
Tool ID: sprite-sheet-generator
Tier: free",To Do,"image,Medium",,
Sprite Sheet Extractor,"Extract individual sprites from sprite sheets

Category: image
Tool ID: sprite-sheet-extractor
Tier: free",To Do,"image,Simple",,
Image to ASCII Art,"Convert images to ASCII art

Category: image
Tool ID: image-ascii-art
Tier: free",To Do,"image,Simple",,
QR Code Scanner,"Scan and decode QR codes from images

Category: image
Tool ID: qr-code-scanner
Tier: free",To Do,"image,Simple",,
Barcode Scanner,"Scan and decode barcodes from images

Category: image
Tool ID: barcode-scanner
Tier: free",To Do,"image,Simple",,
Image Format Analyzer,"Analyze image format, compression, and technical details

Category: image
Tool ID: image-format-analyzer
Tier: free",To Do,"image,Complex",,
WebP Converter,"Convert images to/from WebP format

Category: image
Tool ID: webp-converter
Tier: free",To Do,"image,Medium",,
AVIF Converter,"Convert images to/from AVIF format

Category: image
Tool ID: avif-converter
Tier: free",To Do,"image,Medium",,
HEIC/HEIF Converter,"Convert HEIC/HEIF images to other formats

Category: image
Tool ID: heic-converter
Tier: free",To Do,"image,Medium",,
Image Batch Processor,"Process multiple images at once (resize, convert, compress)

Category: image
Tool ID: image-batch-processor
Tier: free",To Do,"image,Simple",,
File Hash Calculator,"Calculate file hashes (MD5, SHA-1, SHA-256)

Category: file
Tool ID: file-hash
Tier: free",To Do,"file,Simple",,
File Format Converter,"Convert between various file formats

Category: file
Tool ID: file-converter
Tier: free",To Do,"file,Medium",,
PDF Merger,"Merge multiple PDF files into one

Category: file
Tool ID: pdf-merger
Tier: free",To Do,"file,Simple",,
PDF Splitter,"Split PDF files into separate pages

Category: file
Tool ID: pdf-splitter
Tier: free",To Do,"file,Simple",,
PDF to Images,"Convert PDF pages to images

Category: file
Tool ID: pdf-to-images
Tier: free",To Do,"file,Simple",,
Images to PDF,"Convert multiple images to a PDF

Category: file
Tool ID: images-to-pdf
Tier: free",To Do,"file,Simple",,
File Splitter,"Split large files into smaller chunks

Category: file
Tool ID: file-splitter
Tier: free",To Do,"file,Simple",,
File Merger,"Merge split file chunks back together

Category: file
Tool ID: file-merger
Tier: free",To Do,"file,Simple",,
MIME Type Detector,"Detect MIME type of files

Category: file
Tool ID: mime-type-detector
Tier: free",To Do,"file,Simple",,
Git Command Builder,"Build and learn Git commands interactively

Category: git
Tool ID: git-command-builder
Tier: free",To Do,"git,Complex",,
.gitignore Generator,"Generate .gitignore files for various languages and frameworks

Category: git
Tool ID: gitignore-generator
Tier: free",To Do,"git,Medium",,
Git Diff Viewer,"Visualize Git diffs with syntax highlighting

Category: git
Tool ID: git-diff-viewer
Tier: free",To Do,"git,Simple",,
Commit Message Generator,"Generate conventional commit messages

Category: git
Tool ID: commit-message-generator
Tier: free",To Do,"git,Medium",,
GitHub Actions Workflow Builder,"Build GitHub Actions workflows visually

Category: cicd
Tool ID: github-actions-builder
Tier: free",To Do,"cicd,Complex",,
GitLab CI Builder,"Build GitLab CI/CD pipelines

Category: cicd
Tool ID: gitlab-ci-builder
Tier: free",To Do,"cicd,Complex",,
Jenkins Pipeline Generator,"Generate Jenkinsfile pipelines

Category: cicd
Tool ID: jenkins-pipeline
Tier: free",To Do,"cicd,Simple",,
CircleCI Config Builder,"Build CircleCI configuration files

Category: cicd
Tool ID: circleci-config
Tier: free",To Do,"cicd,Simple",,
Kubernetes YAML Generator,"Generate Kubernetes deployment YAML files

Category: devops
Tool ID: kubernetes-yaml
Tier: free",To Do,"devops,Simple",,
Helm Chart Generator,"Generate Helm chart templates

Category: devops
Tool ID: helm-chart-generator
Tier: free",To Do,"devops,Medium",,
Terraform Config Generator,"Generate Terraform configuration files

Category: devops
Tool ID: terraform-generator
Tier: free",To Do,"devops,Medium",,
Ansible Playbook Generator,"Generate Ansible playbooks

Category: devops
Tool ID: ansible-playbook
Tier: free",To Do,"devops,Simple",,
Docker Compose Generator,"Generate docker-compose.yml files

Category: devops
Tool ID: docker-compose-generator
Tier: free",To Do,"devops,Medium",,
Environment File Generator,"Generate and manage .env files

Category: devops
Tool ID: env-file-generator
Tier: free",To Do,"devops,Medium",,
Unit Test Generator,"Generate unit test boilerplate for various languages

Category: testing
Tool ID: unit-test-generator
Tier: free",To Do,"testing,Medium",,
Mock API Server,"Create mock API servers for testing

Category: testing
Tool ID: mock-server
Tier: free",To Do,"testing,Simple",,
Test Data Generator,"Generate realistic test data sets

Category: testing
Tool ID: test-data-generator
Tier: free",To Do,"testing,Medium",,
